Date,ATVI,CBS,CTL,CHTR,CMCSA,DISCA,DISCK,DISH,EA,FB,FOXA,FOX,DIS
2016-10-27,42.88656997680664,54.625648498535156,23.71883583068848,244.1000061035156,29.18646812438965,26.15999984741211,25.399999618530273,58.18000030517578,82.72000122070312,129.69000244140622,25.55193328857422,25.670764923095703,90.43879699707031
2016-10-28,42.49419784545898,54.75153732299805,23.25210952758789,249.25,29.376361846923828,25.85000038146973,25.170000076293945,57.38000106811523,79.44999694824219,131.28999328613278,25.68894004821777,25.670764923095703,90.27527618408205
2016-10-31,42.3470573425293,54.829002380371094,20.33698844909668,249.88999938964844,29.34787750244141,26.11000061035156,25.11000061035156,58.56000137329102,78.5199966430664,130.99000549316406,25.708511352539066,25.8175106048584,89.15946197509766
2016-11-01,41.78792190551758,54.064002990722656,19.105138778686523,249.57000732421875,29.17222595214844,25.790000915527344,24.790000915527344,57.18999862670898,77.83999633789062,129.5,25.630224227905273,25.621849060058594,88.87090301513672
2016-11-02,41.78792190551758,53.4055061340332,18.50069236755371,252.91000366210938,29.18172264099121,25.20000076293945,24.3700008392334,55.099998474121094,79.12000274658203,127.16999816894531,25.27791786193848,25.19139289855957,88.40917205810547
2016-11-03,42.54323959350586,53.74443054199219,17.59784698486328,247.4199981689453,28.93486022949219,25.78000068664551,24.809999465942386,54.91999816894531,80.5199966430664,120.0,27.117734909057614,26.932781219482425,89.81356811523438
2016-11-04,40.90507888793945,55.2066650390625,17.6361026763916,250.22999572753903,28.79719161987305,25.63999938964844,24.59000015258789,54.93000030517578,80.22000122070312,120.75,26.364192962646484,26.111003875732425,88.92860412597656
2016-11-07,40.30670547485352,55.79737854003906,17.84268569946289,257.16000366210943,29.20071220397949,25.54999923706055,24.729999542236328,56.25,81.08000183105469,122.1500015258789,26.80457305908203,26.600156784057614,90.83319091796876
2016-11-08,40.22822952270508,55.903892517089844,18.485387802124023,262.260009765625,29.68018913269043,25.85000038146973,25.059999465942386,56.68000030517578,81.48999786376953,124.22000122070312,26.510988235473636,26.492544174194336,90.78508758544922
2016-11-09,39.38462829589844,55.60369873046875,18.584857940673828,269.82998657226557,30.12169075012207,25.899999618530273,25.15999984741211,57.93000030517578,79.44000244140625,123.18000030517578,26.87307929992676,26.737119674682614,91.03519439697266
2016-11-10,37.9622688293457,55.342247009277344,18.21759414672852,270.8699951171875,30.90499496459961,26.03000068664551,25.34000015258789,56.38000106811523,76.79000091552734,120.8000030517578,26.57949256896973,26.5708065032959,91.34300231933594
2016-11-11,38.65873336791992,55.91357803344727,18.209943771362305,272.44000244140625,31.550626754760746,26.440000534057614,25.78000068664551,55.54999923706055,77.44999694824219,119.0199966430664,26.559917449951172,26.414276123046875,93.95939636230469
