Date,AAP,AMZN,APTV,AZO,BKNG,BWA,CPRI,CCL,CMG,DHI,DRI,DG,DLTR,EBAY,EXPE,FL,F
2018-05-14,121.42346954345705,1601.5400390625,94.96249389648438,666.02001953125,2072.02001953125,50.18515396118164,63.18999862670898,62.72888565063477,425.05999755859375,43.035438537597656,84.64030456542969,92.6939468383789,94.86000061035156,38.24698257446289,113.478759765625,42.337745666503906,10.294605255126953
2018-05-15,119.7360610961914,1576.1199951171875,95.24027252197266,654.1599731445312,2067.75,49.95874404907226,64.44999694824219,63.07727432250977,426.55999755859375,40.13739776611328,84.96146392822266,92.97088623046876,95.29000091552734,37.93813705444336,112.8452377319336,42.513179779052734,10.331438064575195
2018-05-16,118.84741973876952,1587.280029296875,97.08555603027344,647.9299926757812,2074.590087890625,51.01205825805664,65.79000091552734,63.34823608398438,444.6700134277344,40.52314758300781,84.88360595703125,95.14678955078124,94.48999786376952,38.207130432128906,114.41913604736328,43.02973175048828,10.49718189239502
2018-05-17,119.60625457763672,1581.760009765625,97.45262908935548,646.2999877929688,2089.110107421875,51.57316970825195,66.70999908447266,62.72888565063477,438.5799865722656,40.938560485839844,83.63790130615234,95.61164855957031,94.29000091552734,38.2569465637207,114.49832153320312,42.81531524658203,10.5524320602417
2018-05-18,118.13850402832031,1574.3699951171875,96.56966400146484,652.6400146484375,2066.340087890625,51.1104965209961,66.16000366210939,62.74823760986328,431.95001220703125,41.38365173339844,82.78146362304688,95.67100524902344,93.0999984741211,38.177242279052734,113.90440368652344,42.337745666503906,10.43272590637207
2018-05-21,118.96724700927734,1585.4599609375,97.40301513671876,665.0900268554688,2071.56005859375,51.51410675048828,67.08000183105469,62.68049240112305,433.8599853515625,41.166053771972656,83.91039276123047,96.14574432373048,93.81999969482422,38.14735412597656,115.18134307861328,42.97124862670898,10.598470687866213
2018-05-22,115.1530990600586,1581.4000244140625,97.36334228515624,602.0,2077.18994140625,51.84880828857422,66.16000366210939,62.95146560668945,433.4400024414063,40.42422866821289,83.63790130615234,95.35450744628906,93.58999633789062,37.62929153442383,115.11204528808594,43.14668273925781,10.60767936706543
2018-05-23,123.06094360351562,1601.8599853515625,97.11531066894531,622.0900268554688,2085.25,51.35660171508789,67.31999969482422,62.59340286254883,435.510009765625,41.09681701660156,83.41405487060547,95.22592163085938,93.68000030517578,37.898284912109375,114.35780334472656,43.88740158081055,10.534014701843262
2018-05-24,124.97801208496094,1603.0699462890625,96.906982421875,636.989990234375,2088.280029296875,50.74627304077149,68.37000274658203,62.56414413452149,433.42999267578125,41.34408950805664,84.62084197998047,95.8490219116211,94.6500015258789,37.64921951293945,116.10447692871094,45.212890625,10.699758529663086
2018-05-25,124.71841430664062,1610.1500244140625,96.87721252441406,633.7000122070312,2110.6201171875,50.65767288208008,68.63999938964844,62.66167068481445,428.9599914550781,42.19470977783203,85.52591705322266,95.5622100830078,95.18000030517578,37.79865646362305,116.93811798095705,54.325645446777344,10.598470687866213
