Date,ADM,CPB,CHD,CLX,CL,CAG,COST,COTY,EL,GIS
2017-07-11,38.19098663330078,48.12698364257813,50.74761581420898,125.13832092285156,69.00108337402344,31.38127326965332,148.22299194335938,17.056451797485348,92.00367736816406,49.8062858581543
2017-07-12,38.769203186035156,48.3906364440918,50.47531127929688,124.68323516845705,68.88671112060547,31.67544937133789,148.8507537841797,16.990922927856445,92.6506118774414,49.7225456237793
2017-07-13,39.22419738769531,48.35297393798828,50.57255554199219,124.03848266601562,68.83905792236328,31.808292388916016,150.66543579101562,17.093896865844727,92.85646057128906,49.57367706298828
2017-07-14,39.3189811706543,48.71078872680664,51.175537109375,125.06249237060548,69.47158813476561,31.86523056030273,150.07688903808594,17.206232070922848,93.42499542236328,50.00168228149414
2017-07-17,39.43273162841797,48.76729965209961,51.86605453491211,125.45372772216795,69.56740570068361,31.77033805847168,149.919921875,17.262405395507812,94.29737854003906,50.38315963745117
2017-07-18,39.034610748291016,48.01399230957031,52.15782165527344,125.50143432617188,69.50034332275389,31.618511199951172,148.6055450439453,17.318571090698242,94.38560485839844,49.93654251098633
2017-07-19,39.1294059753418,49.50177383422852,51.49648666381836,124.5567398071289,69.47158813476561,32.12144088745117,148.3505096435547,17.505800247192386,95.0227508544922,50.10402297973633
2017-07-20,39.262107849121094,48.88970184326172,51.53538513183594,124.90027618408205,69.08823394775389,32.02655029296875,148.10528564453125,17.683664321899414,95.18938446044922,50.40176391601562
2017-07-21,39.11044692993164,48.96503448486328,51.79796981811523,126.1884994506836,70.21910858154297,32.149913787841804,147.56578063964844,17.711750030517578,96.01276397705078,50.56924438476562
2017-07-24,39.22419738769531,48.97445297241211,51.35059356689453,125.31060028076172,68.85821533203125,32.111949920654304,148.11509704589844,17.95514488220215,95.81672668457031,50.69020080566406
2017-07-25,39.77397537231445,49.46410369873047,51.86605453491211,126.78964233398438,69.04991149902344,32.41561508178711,150.24365234375,18.282794952392575,96.79695129394531,51.285682678222656
2017-07-26,39.53700256347656,49.53943252563477,52.19672012329102,127.32403564453124,69.96035766601561,32.102466583251946,149.18426513671875,18.54491424560547,96.9635772705078,51.29498672485352
2017-07-27,39.60335540771485,49.97258758544922,52.32315063476562,128.03018188476562,69.91242218017578,32.801952362060554,149.60606384277344,19.04106903076172,97.5615234375,51.62994003295898
2017-07-28,39.60335540771485,49.76542663574219,51.836875915527344,126.6942367553711,69.51950836181639,32.696910858154304,149.96896362304688,19.228296279907227,97.04200744628906,51.48107528686523
2017-07-31,39.982513427734375,49.74659729003906,51.88549423217773,127.38131713867188,69.19364929199219,32.696910858154304,155.48159790039062,19.17212677001953,97.0322036743164,51.78811645507813
2017-08-01,41.044166564941406,49.4546890258789,51.55483627319336,127.03778076171876,68.7144775390625,32.30538558959961,156.6685028076172,18.93808937072754,96.6597137451172,51.36011505126953
2017-08-02,40.2763671875,49.63359832763672,51.28252410888672,125.9308624267578,68.6378173828125,32.668262481689446,158.19869995117188,18.891284942626953,96.54208374023438,52.169593811035156
2017-08-03,40.39959335327149,49.91609191894531,50.34887313842773,128.56452941894528,68.61864471435547,32.763755798339844,154.89306640625,18.657251358032227,96.22843170166016,52.30915832519531
2017-08-04,40.37115478515625,50.076171875,49.00675582885742,128.33552551269528,68.50364685058594,32.44862747192383,153.45114135742188,18.4512996673584,96.63031005859376,52.26263809204102
2017-08-07,40.22896957397461,50.132667541503906,48.90950775146485,129.29930114746094,68.75281524658203,32.630069732666016,153.95138549804688,18.760225296020508,98.541748046875,52.4580307006836
2017-08-08,40.03938674926758,50.14208221435547,48.33569717407226,128.48820495605472,68.7144775390625,32.64916229248047,154.7361297607422,18.629169464111328,99.0612564086914,51.89976501464844
2017-08-09,40.2763671875,50.10441970825195,48.54965591430664,128.06834411621094,68.58988189697266,32.840145111083984,153.86312866210938,18.59172248840332,101.7176742553711,51.89046859741211
2017-08-10,39.925636291503906,50.14208221435547,48.218994140625,127.81068420410156,68.57071685791016,32.5250244140625,153.6473388671875,18.21726417541504,99.67880249023438,52.374290466308594
2017-08-11,39.11044692993164,50.48107147216797,48.44353485107422,128.16378784179688,68.29280853271484,33.23167037963867,153.65713500976562,18.23598861694336,97.6791534423828,52.65342330932617
2017-08-14,39.764503479003906,50.70706176757813,48.79500198364258,129.36613464355472,68.47488403320311,33.317615509033196,154.89306640625,18.441940307617188,99.12986755371094,53.40707778930664
2017-08-15,40.16567993164063,50.59406661987305,48.58998107910156,130.06269836425778,68.81031799316406,33.327171325683594,153.8827667236328,18.31087875366211,99.04165649414062,53.32333755493164
2017-08-16,40.26119613647461,50.8388900756836,49.07812881469727,130.67341613769528,68.93490600585939,33.556350708007805,157.20875549316406,18.41385269165039,99.0710678100586,53.52803421020508
2017-08-17,39.802711486816406,50.81064224243164,48.66808319091797,130.89291381835938,68.33113098144531,33.15528106689453,156.0377655029297,17.93642234802246,96.37545776367188,53.56525039672852
2017-08-18,39.420631408691406,50.55640029907226,48.86334228515625,131.42726135253906,68.06278991699219,32.906993865966804,154.57156372070312,18.001953125,103.82514190673828,53.16515731811523
2017-08-21,39.69763565063477,50.6788101196289,49.20504379272461,132.47691345214844,68.62821960449219,32.94519424438477,154.56170654296875,18.301517486572266,104.37408447265624,53.30472946166992
2017-08-22,39.85046768188477,50.848304748535156,49.17575454711914,132.67733764648438,68.65697479248047,32.954742431640625,156.16567993164062,16.57901954650879,103.12918853759766,53.50011825561523
2017-08-23,39.89822387695313,51.02721405029297,48.86334228515625,132.37196350097656,68.25446319580078,32.67781448364258,156.8249969482422,15.670966148376465,102.3842315673828,53.66759490966797
