Date,ACN,ADBE,AMD,AKAM,ADS,APH,ADI,ANSS,AAPL,AMAT,ANET,ADSK,ADP,AVGO,BR,CDNS,CSCO,CTXS,CTSH,DXC,FFIV,FIS,FISV,FLT,FLIR,FTNT,CRM
2016-01-21,92.00275421142578,88.0,2.0899999141693115,46.209999084472656,242.5758056640625,46.35382461547852,46.893043518066406,85.06999969482422,90.95173645019531,15.99969482421875,62.540000915527344,47.86999893188477,73.72868347167969,115.48918914794922,47.34729766845703,18.93000030517578,20.607240676879886,51.75143432617188,57.74918746948242,24.03746223449707,89.51000213623047,55.60353469848633,44.81999969482422,116.75,28.46717071533203,26.729999542236328,69.51000213623047
2016-01-22,95.7000732421875,89.62999725341797,2.0199999809265137,46.90999984741211,242.97555541992188,47.246360778808594,47.681861877441406,86.80000305175781,95.78736877441406,16.22812843322754,64.33000183105469,49.02999877929688,75.4591064453125,115.47067260742188,48.96204376220703,19.520000457763672,21.03018569946289,53.34938430786133,59.1670036315918,25.330698013305664,93.7699966430664,56.94453811645508,45.74499893188477,123.66000366210938,29.03995132446289,27.75,71.55000305175781
2016-01-25,95.2414093017578,86.7699966430664,2.1199998855590816,45.70000076293945,239.2415008544922,46.74188613891602,47.37561798095703,84.80000305175781,93.9173355102539,16.094879150390625,59.9000015258789,47.97000122070313,74.51017761230469,115.45211029052734,48.65987014770508,18.8700008392334,20.85020637512207,52.24980163574219,59.56790161132813,24.855119705200195,93.91999816894531,56.36981582641602,45.08000183105469,119.01000213623048,28.801292419433594,27.209999084472656,69.91999816894531
2016-01-26,95.9715347290039,86.88999938964844,2.0699999332427983,46.20000076293945,243.34603881835938,47.12994384765625,47.59834289550781,86.56999969482422,94.4367904663086,16.513668060302734,60.0099983215332,48.41999816894531,75.25442504882812,115.35938262939452,49.188682556152344,19.299999237060547,21.34514045715332,53.94268035888672,60.56526947021485,25.25560188293457,96.41000366210938,57.50967025756836,45.70000076293945,120.13999938964844,28.17123031616211,26.8700008392334,69.87000274658203
2016-01-27,95.43798828125,84.8499984741211,2.1300001144409184,44.349998474121094,240.6161956787109,46.94561767578125,47.58905792236328,84.5999984741211,88.23165893554688,16.266202926635742,60.849998474121094,46.4900016784668,74.87300109863281,113.46747589111328,49.30199432373047,18.84000015258789,21.08417510986328,52.131141662597656,59.65591049194336,25.33903694152832,95.33999633789062,56.331504821777344,45.224998474121094,118.0199966430664,27.57935905456543,25.82999992370605,67.43000030517578
2016-01-28,96.4863510131836,84.5199966430664,2.0799999237060547,43.47000122070313,194.0138397216797,47.01351928710938,48.03451156616211,85.0999984741211,88.86444854736328,15.875965118408205,59.45000076293945,45.27000045776367,75.12419891357422,117.19563293457031,49.45307922363281,18.989999771118164,20.796215057373047,54.19581985473633,59.97858810424805,25.66443252563477,92.5,55.75679016113281,45.5099983215332,117.5,27.197509765625,26.36000061035156,65.69000244140625
2016-01-29,98.78898620605469,89.12999725341797,2.200000047683716,45.61999893188477,194.78402709960938,48.09040069580078,49.983360290527344,88.19000244140625,91.9339599609375,16.799203872680664,60.02999877929688,46.81999969482422,77.3011474609375,124.00276184082031,50.57679748535156,19.559999465942386,21.40813446044922,55.73839950561523,61.90486526489258,26.75742530822754,93.77999877929688,57.21273422241211,47.27999877929688,122.83999633789062,27.913484573364254,28.13999938964844,68.05999755859375
2016-02-01,99.48165130615234,89.61000061035156,2.1400001049041752,45.29999923706055,201.38442993164062,48.38143539428711,49.3430290222168,88.23999786376953,91.07450103759766,16.799203872680664,59.2599983215332,47.6500015258789,77.18952178955078,127.68453216552734,50.86008834838867,19.540000915527344,21.129169464111328,56.086463928222656,60.94661331176758,26.48208999633789,94.01000213623048,58.11310958862305,47.18500137329102,121.76000213623048,28.01849174499512,28.38999938964844,68.44000244140625
2016-02-02,97.17900848388672,87.94999694824219,1.9900000095367432,42.93999862670898,189.4218597412109,47.73144149780274,47.64473342895508,86.81999969482422,89.23279571533203,16.22812843322754,57.63999938964844,45.88999938964844,76.44525146484375,123.56690216064452,49.61361694335938,19.229999542236328,20.544246673583984,52.42383575439453,58.78565979003906,26.123321533203125,90.93000030517578,57.01158142089844,46.52000045776367,117.75,27.28342437744141,27.059999465942386,64.51999664306639
2016-02-03,95.56902313232422,87.98999786376953,2.0699999332427983,44.38999938964844,189.8216094970703,47.58591842651367,47.681861877441406,87.38999938964844,90.99893188476562,16.456560134887695,61.95000076293945,49.56000137329102,76.42664337158203,121.8233413696289,50.02910614013672,19.229999542236328,20.78721618652344,53.86357116699219,59.41144943237305,26.09829139709473,91.19000244140624,57.13610076904297,47.4000015258789,121.9000015258789,27.197509765625,26.38999938964844,65.33999633789061
