Date,ALK,ALLE,AAL,AME,AOS,ARNC,BA,CAT,CTAS,CPRT,CSX,CMI,DE,DAL,DOV,ETN,EMR,EFX,EXPD,FAST,FDX,FLS,FLR,FTV,FBHS,GD,GE
2016-10-28,68.47346496582031,62.1595458984375,39.13152313232422,43.3978157043457,43.53571701049805,20.53461456298828,133.7032470703125,78.66027069091797,102.27852630615234,26.270000457763672,29.17374610900879,117.91783905029295,83.05106353759766,38.81523132324219,51.443321228027344,56.83860778808594,45.98503112792969,118.18111419677734,49.58286666870117,36.154930114746094,169.93446350097656,40.43119430541992,49.84407806396485,49.64236831665039,51.79220199584961,144.610107421875,25.72592163085937
2016-10-31,68.8931884765625,62.40391159057617,39.65900802612305,43.368309020996094,43.70989608764648,20.787946701049805,133.16099548339844,78.26641082763672,102.99301147460938,26.23500061035156,29.395347595214844,119.0353546142578,84.12765502929688,39.21896743774414,50.77532577514648,58.10512161254883,46.52668380737305,120.08943176269531,49.74717712402344,36.36014938354492,170.0027313232422,40.56528854370117,49.72930145263672,50.472877502441406,52.659751892089844,143.8846893310547,25.620269775390625
2016-11-01,68.13957977294922,62.03245544433594,38.87754440307617,44.14519882202149,43.27444076538086,18.2685546875,133.14231872558594,77.12232208251953,100.7626495361328,25.96500015258789,29.298999786376953,113.88540649414062,83.92756652832031,39.3222541809082,50.49446105957031,55.307838439941406,46.82046127319336,119.76976013183594,49.3798942565918,35.81913375854492,167.28182983398438,40.335411071777344,49.63364028930664,49.91920471191406,51.41626739501953,143.15924072265625,25.426576614379886
2016-11-02,67.69122314453125,61.9249382019043,38.789634704589844,43.368309020996094,42.59707260131836,17.40509033203125,131.59033203125,76.0626449584961,100.3127670288086,25.90500068664551,29.6169376373291,113.35457611083984,83.99427032470703,39.36919403076172,50.32746124267578,55.47185516357422,45.93913650512695,118.59765625,49.32190322875977,35.6792106628418,168.11077880859375,39.83731460571289,49.25102996826172,49.75112915039063,51.22348022460938,142.86329650878906,25.083213806152344
2016-11-03,66.45111083984375,61.86628341674805,38.56439971923828,43.5256462097168,42.393856048583984,16.968505859375,130.90782165527344,76.21267700195312,100.72352600097656,26.024999618530273,29.992691040039066,113.3825225830078,84.12765502929688,39.359806060791016,50.373008728027344,54.92919158935547,45.75551986694336,119.1207504272461,49.15759658813477,36.00568771362305,169.34933471679688,39.923526763916016,49.53799438476562,50.403663635253906,50.934303283691406,143.20693969726562,24.89832305908203
2016-11-04,67.02347564697266,62.208412170410156,38.91695022583008,43.65349578857422,43.409915924072266,17.152841567993164,130.45906066894528,77.1879653930664,100.79197692871094,25.395000457763672,29.790363311767575,115.76659393310548,83.89897155761719,40.26118469238281,49.74296188354492,55.8857536315918,45.36075973510742,119.7406997680664,49.15759658813477,36.78922653198242,170.47085571289062,39.60743713378906,42.85194396972656,50.53219223022461,50.95357894897461,142.99696350097656,25.0391902923584
2016-11-07,69.22706604003906,63.9483528137207,40.63070297241211,44.11570358276367,44.09696960449219,16.822978973388672,133.72195434570312,78.53836822509766,102.50347137451172,25.934999465942386,30.879077911376953,121.38216400146484,84.79457092285156,41.50996017456055,50.6386833190918,57.42178726196289,46.26045227050781,122.14308166503906,50.23044204711914,37.88059997558594,175.56153869628906,40.26835632324219,42.90933227539063,51.20451354980469,52.5826301574707,145.4596405029297,25.805158615112305
2016-11-08,69.36061859130861,64.23184204101561,40.83634948730469,44.65657043457031,44.50338745117188,16.97901725769043,133.96693420410156,79.41046905517578,103.305419921875,26.2450008392334,30.89834976196289,121.8664093017578,84.78504943847656,42.00280380249024,50.69182586669922,57.9460563659668,47.576622009277344,123.0924072265625,48.6066780090332,37.88991928100586,176.81959533691406,40.09594345092773,42.641502380371094,52.05478286743164,52.42840576171875,146.78639221191406,25.90200614929199
2016-11-09,69.80896759033203,65.24845123291016,41.531646728515625,46.02350616455078,46.04199600219727,17.09604835510254,137.74540710449222,85.5247573852539,105.1244888305664,26.670000076293945,32.642227172851555,127.4447784423828,85.85213470458984,42.68194580078125,53.32585525512695,60.999717712402344,49.9531135559082,118.69451904296876,47.9011116027832,40.66032028198242,176.68309020996094,42.3277473449707,46.97452926635742,52.855628967285156,52.72722625732422,154.71849060058594,26.086894989013672
2016-11-10,71.7862777709961,67.55537414550781,41.423919677734375,47.12493133544922,46.7484016418457,17.993270874023438,140.21382141113278,87.63473510742188,105.6037139892578,26.6299991607666,33.26847076416016,128.33876037597656,86.41424560546875,43.34220504760742,54.35821914672852,63.18880081176758,52.16118621826172,112.59172058105469,48.87730026245117,41.90092086791992,179.02365112304688,44.00400161743164,48.20843505859375,53.58726119995117,53.72971725463867,158.93746948242188,26.773622512817386
