Date,APC,APA,BHGE,COG,CVX,CXO,COP,DVN,FANG,EOG,FTI
2017-05-16,50.32986831665039,48.54167556762695,38.410736083984375,23.429841995239254,99.27257537841795,132.93063354492188,45.56656265258789,37.230201721191406,103.51766967773438,92.49685668945312,30.508995056152344
2017-05-17,50.32014465332031,47.7988395690918,38.36397171020508,22.83967208862305,97.89807891845705,132.32131958007812,44.87044143676758,36.67057418823242,101.3569107055664,91.6293487548828,30.39240074157715
2017-05-18,50.65082168579102,47.54170227050781,38.163570404052734,22.69212913513184,98.3375473022461,129.97395324707028,44.8801155090332,36.228763580322266,101.18763732910156,90.38726043701172,30.6450252532959
2017-05-19,51.83733367919922,48.72262191772461,38.891700744628906,23.095415115356445,99.59983825683594,132.56106567382812,45.90494918823242,37.69165802001953,102.6812515258789,92.47713470458984,31.169700622558594
2017-05-22,51.88595962524414,47.63694381713867,38.74474334716797,23.095415115356445,99.225830078125,131.66206359863278,45.3731918334961,37.38729476928711,101.81494903564452,91.7870864868164,31.18913078308105
2017-05-23,52.09991836547852,47.61789321899414,38.52429580688477,23.164264678955078,99.36608123779295,131.31246948242188,45.20883560180664,37.13202667236328,100.22175598144531,91.21531677246094,30.88792991638184
2017-05-24,51.88595962524414,47.49408340454102,38.029972076416016,22.44622230529785,99.3193359375,130.85296630859378,45.1218147277832,36.4545783996582,98.94721221923828,91.35333251953124,30.41183280944824
2017-05-25,50.641090393066406,45.436988830566406,36.63381576538086,22.475730895996094,98.2814483642578,128.29585266113278,43.55556106567383,35.080039978027344,99.20609283447266,89.72676849365234,28.546314239501953
2017-05-26,50.41740798950195,45.89411926269531,37.04130935668945,22.583932876586914,97.91677856445312,131.13265991210938,43.84560775756836,35.16840362548828,97.99129486083984,89.92393493652344,28.2451114654541
2017-05-30,49.37676620483398,45.29413986206055,36.78746795654297,22.092121124267575,97.29966735839844,129.36463928222656,43.30418395996094,33.86260223388672,93.8788604736328,88.34664916992188,27.866180419921875
2017-05-31,49.143348693847656,44.53225708007813,36.840911865234375,21.826541900634766,96.7573471069336,126.63770294189452,43.20750427246094,33.36188125610352,92.3653335571289,89.02687072753906,28.128517150878906
2017-06-01,49.707435607910156,45.0465316772461,37.09475708007813,21.78719711303711,97.49600982666016,127.7364730834961,43.371864318847656,33.6466064453125,93.57018280029295,89.11558532714844,28.59489631652832
2017-06-02,48.68624877929688,44.75129699707031,36.70730590820313,21.236370086669922,96.41136932373048,124.27037048339844,42.79176330566406,32.52733993530273,91.4492416381836,88.40581512451172,28.17709732055664
