Date,AMG,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BK,BBT,BLK,COF,CBOE,CB,CINF,C,CFG,CME,CMA,DFS,ETFC,FITB,FRC,BEN
2016-07-19,143.70387268066406,33.021072387695305,65.67922973632811,61.45547866821289,51.04486083984375,89.04317474365234,105.89099884033205,45.10152053833008,82.19548034667969,13.600740432739258,37.49020767211914,33.78457260131836,333.0914306640625,63.61790084838867,66.4195556640625,121.57369232177734,69.28913879394531,41.90570068359375,19.61079216003418,91.44139099121094,42.50402069091797,53.84800720214844,24.77167892456055,17.174125671386722,57.898170471191406,32.34497833251953
2016-07-20,144.3240509033203,33.12932586669922,65.66022491455078,61.76199722290039,51.1479606628418,89.15404510498047,106.13226318359376,45.17561721801758,82.0078125,13.73426914215088,37.77344131469727,33.61850357055664,336.0806579589844,63.50518417358398,65.79047393798828,121.0641098022461,69.05867767333984,42.01908874511719,19.8812198638916,90.71730041503906,42.92155838012695,53.20538711547852,25.30846405029297,17.15546989440918,57.98017883300781,32.85007858276367
2016-07-21,143.6644744873047,33.075199127197266,65.46067810058594,60.756248474121094,50.88552474975586,88.92306518554688,105.45673370361328,45.03669738769531,81.9421157836914,13.610278129577635,36.44226455688477,33.756893157958984,335.8191833496094,63.86209487915039,65.34528350830078,120.41297149658205,68.27506256103516,41.69782638549805,20.216930389404297,90.31501770019531,42.70330047607422,53.01637649536133,25.06989288330078,17.034196853637695,57.62754440307617,32.74718475341797
2016-07-22,143.457763671875,33.147369384765625,65.7552490234375,61.5704116821289,51.19482803344727,89.68989562988281,106.69195556640624,45.52753829956055,82.48640441894531,13.71519374847412,36.99927520751953,34.02444076538086,339.1352844238281,62.96039199829102,65.67435455322266,121.25285339355469,69.0494384765625,41.85845565795898,20.328828811645508,90.99441528320312,43.13981628417969,53.47944259643555,25.65637969970703,17.19278335571289,58.39841842651367,32.89684295654297
2016-07-25,142.14849853515625,33.039119720458984,65.77425384521484,61.61831665039063,51.23231506347656,88.9692611694336,106.46034240722656,45.86093139648438,82.20487213134766,13.705656051635742,36.86710739135742,33.941410064697266,337.6126708984375,63.25156784057617,66.21630859375,120.73384857177734,69.08633422851561,41.61279296875,20.54330825805664,90.7887954711914,42.95951461791992,53.51724624633789,24.84126281738281,17.18345832824707,59.0790901184082,32.41980743408203
2016-07-26,142.68006896972656,33.237579345703125,65.60321807861328,61.65662384033203,51.26043319702149,89.2464370727539,107.13587188720705,45.80536651611328,81.18201446533203,13.85826015472412,37.38635635375977,34.125926971435554,338.0890197753906,63.58032989501953,66.00339508056639,120.99806213378906,69.03101348876953,41.71673202514648,20.97226333618164,90.73518371582031,43.43399429321289,53.4227409362793,25.089773178100586,17.407342910766598,58.84896087646485,32.354331970214844
2016-07-27,143.56600952148438,33.08873748779297,65.43216705322266,61.867347717285156,51.19482803344727,88.29483795166016,106.6147689819336,45.84241485595703,78.59198760986328,13.953636169433596,37.697914123535156,34.08902359008789,339.3782043457031,63.78696060180664,66.62277221679689,120.01663208007812,68.98491668701172,41.84901809692383,21.056190490722656,91.8257827758789,43.26318740844727,53.54560089111328,25.089773178100586,17.398017883300778,59.05443954467773,32.59752655029297
2016-07-28,144.03855895996094,33.070690155029304,65.72674560546875,62.05892181396485,51.354164123535156,88.27635955810547,106.81800079345705,45.75905990600586,78.21661376953125,14.001324653625488,37.60350799560547,34.23663711547852,339.4342346191406,63.38306427001953,66.13888549804689,119.34662628173828,69.36288452148439,41.80159759521485,20.934965133666992,91.12850189208984,43.34859848022461,53.753501892089844,24.98042869567871,17.649890899658203,58.92294311523438,32.756542205810554
2016-07-29,144.4913787841797,32.60160446166992,64.92855834960939,61.74283218383789,51.02611541748047,88.54428100585938,103.63361358642578,45.55531692504883,77.8975601196289,13.820107460021973,37.37583541870117,34.015213012695305,342.12451171875,63.00735092163086,66.58407592773439,118.20478057861328,68.86505889892578,41.54555892944336,20.823060989379886,91.3966827392578,42.93104934692383,53.71570205688477,24.930727005004886,17.705860137939453,58.906494140625,33.850914001464844
2016-08-01,142.23709106445312,32.28586959838867,64.98557281494139,61.42674255371094,50.8105354309082,87.6111831665039,104.84349822998048,45.88871765136719,78.1227798461914,13.667506217956545,37.18610382080078,33.830699920654304,344.0581359863281,62.96039199829102,66.21630859375,118.2142105102539,69.21539306640625,41.17570877075195,20.81368827819824,92.15653228759766,42.35218811035156,53.24319076538086,24.751798629760746,17.519289016723633,58.38046264648438,33.70125961303711
