Date,AES,AEE,AEP,AWK,ATO,CNP,CMS,ED,D,DTE,DUK,EIX,ETR,EVRG,ES,EXC,FE
2017-06-20,10.873948097229004,54.22861099243164,68.21817016601561,78.454833984375,81.38668823242188,26.529787063598636,45.254310607910156,79.81968688964844,74.16780090332031,103.25491333007812,80.51753997802734,75.58355712890625,73.85558319091797,,59.44219589233398,34.82870483398437,27.743492126464844
2017-06-21,10.663778305053713,53.63969421386719,68.0677490234375,77.89508056640625,80.7322006225586,26.12824249267578,44.962158203125,79.52845001220703,73.2060317993164,102.42715454101562,80.20252990722656,75.27855682373047,73.51288604736328,,59.31924819946289,34.62099838256836,27.334819793701172
2017-06-22,10.572400093078613,53.44971084594727,67.49425506591797,78.27146911621094,80.3183364868164,26.2309627532959,44.87734603881836,79.10565948486328,72.99331665039062,101.91563415527344,79.9338607788086,74.760986328125,73.34617614746094,,58.82744216918945,34.611557006835945,27.102617263793945
2017-06-23,10.563264846801758,53.1362533569336,67.26862335205078,78.30042266845703,80.37609100341797,26.193613052368164,44.585205078125,78.7674560546875,72.49392700195312,101.27388763427734,79.63741302490234,73.9661636352539,73.16091918945312,,58.87472915649414,34.46050262451172,26.851837158203125
2017-06-26,10.672916412353516,53.6016960144043,67.5694580078125,78.37763977050781,81.14605712890625,26.501771926879886,44.82080459594727,78.95535278320312,72.73438262939453,101.74822235107422,80.3229751586914,74.37281036376953,73.88335418701172,,59.26250076293945,35.130821228027344,27.947832107543945
2017-06-27,10.50843620300293,53.08876037597656,66.48827362060547,77.27738952636719,80.3568344116211,26.31501007080078,44.31190490722656,77.66824340820312,72.04080200195312,100.13922119140624,79.39653015136719,73.06964111328125,72.36439514160156,,58.62883377075195,34.70596694946289,27.60417366027832
2017-06-28,10.353095054626463,52.55682373046875,65.95238494873047,76.87203979492188,80.22208404541016,25.98817443847656,43.91609191894531,76.86966705322266,71.25472259521484,98.80924224853516,78.72023010253906,72.67179107666016,72.0865249633789,,57.91003799438477,34.16781616210937,27.02831077575684
2017-06-29,10.197752952575684,51.95840072631836,65.43528747558594,75.37610626220703,79.64460754394531,25.642658233642575,43.66164779663086,75.93955993652344,71.26397705078125,98.51163482666016,77.849365234375,72.73695373535156,71.20662689208984,,57.40877914428711,33.83738327026367,26.768245697021484
2017-06-30,10.152064323425293,51.92990112304688,65.31307983398439,75.23133087158203,79.83710479736328,25.567951202392575,43.58624649047852,75.93016815185547,70.86631774902344,98.39071655273438,77.44171905517578,72.7648696899414,71.10474395751953,,57.41822814941406,34.054527282714844,27.08403968811035
2017-07-03,10.06068515777588,51.416969299316406,64.87120056152344,75.34715270996094,79.83710479736328,25.754716873168945,43.35065078735352,75.6952896118164,70.37617492675781,98.15819549560548,77.18231964111328,71.82494354248047,70.82688903808594,,57.13450241088867,33.83738327026367,26.991159439086914
2017-07-05,9.932758331298828,51.16050338745117,64.70195770263672,75.19274139404297,79.57723236083984,25.63332176208496,43.17159271240234,75.6013412475586,70.0987548828125,98.06520080566406,77.1637954711914,71.55506896972656,70.35451507568361,,56.81293106079102,33.53525924682617,27.13047981262207
2017-07-06,9.759140014648438,51.0560188293457,64.88999176025389,74.89353942871094,79.60610961914062,25.47456932067871,43.06792831420898,75.52618408203125,70.02476501464844,97.81407928466795,77.08966064453125,71.350341796875,69.94698333740234,,56.73727416992188,33.686317443847656,27.22336196899414
2017-07-07,9.83224105834961,51.42646408081055,65.01221466064453,75.04796600341797,80.53970336914062,25.51192283630371,43.115047454833984,75.65772247314453,70.08949279785156,97.89778900146484,77.28422546386719,71.49923706054688,70.19706726074219,,56.81293106079102,33.591907501220696,27.167633056640625
